band	start	end	name
chr1	1426127	1427787	EXOSC10
chr1	1430538	1434573	NMNAT1
chr1	1434860	1437459	TAS1R1
chr1	1449688	1470158	HES3
chr1	1471768	1496202	TMEM51-AS1
chr1	1503249	1509452	NPPA
chr1	1512150	1534685	C1orf127
chr1	1535173	1540357	CENPS
chr1	1541672	1574869	AURKAIP1
chr1	1574101	1575879	B3GALT6
chr1	1583509	1583909	MTHFR
chr1	1598011	1600096	LINC00982
chr1	1613757	1615795	
chr1	1615414	1630605	AGTRAP
chr1	1632094	1634654	FAM87B
chr1	1635226	1659012	CTNNBIP1
chr1	1659324	1662602	TMEM52
chr1	1659528	1692724	HNRNPCL1
chr1	1671989	1673411	VWA1
chr1	1699941	1701782	HNRNPCL4
chr1	1702729	1722831	PIK3CD-AS1
chr1	1702735	1737688	GPR157
chr1	1724511	1735973	PRAMEF8
chr1	1724837	1745919	PRKCZ-AS1
chr1	1751231	1778470	C1QTNF12
chr1	1785284	1891117	OR4F5
chr1	1891470	1892658	TNFRSF4
chr1	1914826	1917294	TNFRSF18
chr1	1917589	1918797	ESPN
chr1	1921950	1959974	PRAMEF10
chr1	2013212	2015530	PLEKHN1
chr1	2019297	2030758	ISG15
chr1	2049202	2049651	SAMD11
chr1	2050469	2185395	PERM1
chr1	2141083	2145279	GABRD
chr1	2181793	2183875	KLHL17
chr1	2184460	2194775	AGRN
chr1	2212522	2220738	HES4
chr1	2228694	2310119	TMEM201
chr1	2321252	2391707	NOC2L
chr1	2326200	2326693	AADACL3
chr1	2350413	2352820	KAZN
chr1	2363060	2363628	SLC35E2B
chr1	2391774	2405442	MMP23B
chr1	2403963	2412530	AJAP1
chr1	2425979	2479804	SLC2A7
chr1	2492299	2493258	MIB2
chr1	2493436	2494479	ATAD3A
chr1	2508532	2526628	HES5
chr1	2528744	2530245	MTCO3P12
chr1	2530063	2547460	MTOR
chr1	2549919	2552106	C1orf174
chr1	2555638	2560714	MIR429
chr1	2566409	2569888	RNU5E-1
chr1	2581559	2584533	RNU6-37P
chr1	2590638	2592678	RNU1-7P
chr1	2632567	2636620	RNU6-777P
chr1	2635975	2801717	RNU6-304P
chr1	2768090	2784733	RNU6-828P
chr1	2773602	2776473	RNU5E-4P
chr1	2811849	2812692	RN7SKP269
chr1	3021482	3022903	C1orf195
chr1	3059614	3062531	PRAMEF20
chr1	3069167	3434342	PRAMEF17
chr1	3127974	3128035	PRAMEF19
chr1	3132926	3133709	PRAMEF14
chr1	3205987	3208664	PRAMEF15
chr1	3306635	3310096	PRAMEF9
chr1	3454425	3481113	PRAMEF7
chr1	3487245	3487627	AADACL4
chr1	3489919	3531448	DISP3
chr1	3560694	3560790	ZBTB48
chr1	3623189	3624743	TMEM240
chr1	3625001	3630127	TMEM88B
chr1	3630766	3650058	TTLL10-AS1
chr1	3652519	3736201	RNU1-8P
chr1	3658937	3668772	RNU6-1072P
chr1	3712199	3714298	RNU6-291P
chr1	3735510	3745905	RNU6-771P
chr1	3736942	3737103	MIR200A
chr1	3746459	3757189	MIR200B
chr1	3772760	3775908	MIR551A
chr1	3782814	3783111	CELA2B
chr1	3812080	3857199	CFL1P6
chr1	3857266	3860490	TNFRSF25
chr1	3889124	3900247	SLC35E2A
chr1	3900371	3905532	BRWD1P1
chr1	3940564	3945462	C1orf167
chr1	3944546	3948900	TTC34
chr1	3976132	4012699	MMP23A
chr1	4012920	4019508	ATAD3C
chr1	4479130	4484375	RNU6ATAC18P
chr1	4551734	4552145	CCNL2
chr1	4654731	4777794	RNU6-1100P
chr1	4963953	4973298	RNA5SP41
chr1	4973380	4981568	RNU6-1199P
chr1	5086458	5090899	NDUFB4P8
chr1	5301927	5307394	LINC02593
chr1	5478735	5492889	LINC01342
chr1	5480786	5482028	DDX11L1
chr1	5554746	5554881	CPTP
chr1	5561708	5668255	RPL7P7
chr1	5564070	5564143	MTCYBP45
chr1	5991465	6100175	MRPL20-AS1
chr1	6185019	6199612	LINC00337
chr1	6205474	6208307	HSPE1P24
chr1	6221192	6235940	RPL10P17
chr1	6234691	6239408	LINC01770
chr1	6244191	6245578	MTOR-AS1
chr1	6247345	6260975	MTND2P28
chr1	6264268	6393361	LINC00115
chr1	6424775	6460944	MTND1P23
chr1	6460785	6465470	LINC01345
chr1	6580000	6582299	WASH7P
chr1	6590723	6602869	TP73-AS1
chr1	6624865	6633565	LINC01714
chr1	6724636	6727408	RPL23AP89
chr1	7368941	7370270	LINC01784
chr1	7693123	7694844	MIR34AHG
chr1	7698302	7698872	FNDC10
chr1	7700703	7700970	LINC01672
chr1	7771268	7781432	LINC01128
chr1	7776382	7776775	EEF1DP6
chr1	7810241	7827342	MTCO2P12
chr1	7843082	7853512	CICP3
chr1	7982880	7982983	PRAMEF25
chr1	7991133	8005312	RPL23AP19
chr1	8004403	8026283	PRAMEF36P
chr1	8189823	8192770	EXOSC10-AS1
chr1	8202428	8215210	FAM41C
chr1	8206433	8206597	LINC01786
chr1	8218189	8220529	ENO1-AS1
chr1	8328066	8328179	PRAMEF30P
chr1	8424644	8434838	PRAMEF32P
chr1	8796570	8796673	PIK3CD-AS2
chr1	8831006	8831375	PRAMEF6
chr1	8860999	8878686	LINC01646
chr1	8883426	8883533	RERE-AS1
chr1	8909741	8909904	LINC01346
chr1	9035106	9069716	PGAM1P11
chr1	9100304	9129170	CICP7
chr1	9148010	9182392	CICP27
chr1	9151667	9151777	PRAMEF29P
chr1	9234774	9271337	LNCTAM34A
chr1	9292879	9369532	KAZN-AS1
chr1	9421097	9422862	RPL7P11
chr1	9425093	9429075	TUBB8P11
chr1	9437668	9437778	LINC01777
chr1	9501091	9503471	ANKRD65
chr1	9588921	9604954	SMIM1
chr1	9652609	9654586	LINC01647
chr1	9660827	9662626	TBCAP2
chr1	9729025	9824526	PRAMEF35P
chr1	9826288	9828271	LINC01134
chr1	9848317	9850154	RPL23AP24
chr1	9943427	9981766	RNF223
chr1	9950571	9960787	CAMTA1-IT1
chr1	9967380	9967458	CAMTA1-DT
chr1	10032831	10180367	FAM138A
chr1	10054444	10054781	PRAMEF33
chr1	10163267	10163374	MTCO1P12
chr1	10227717	10227803	TNFRSF14-AS1
chr1	10298965	10299072	RPL39P6
chr1	10306464	10306757	UBE2V2P3
chr1	10381905	10386541	HMGN2P17
chr1	10429880	10430677	SNORA59A
chr1	10430101	10452153	PRAMEF11
chr1	10456521	10472526	OR4G11P
chr1	10458554	10459338	MTATP8P1
chr1	10639240	10654333	CORT
chr1	10990977	10991797	MRPL20
chr1	11012661	11030528	PRAMEF4
chr1	11026522	11047223	RN7SL614P
chr1	11029658	11030528	MIR1302-2HG
chr1	11054583	11055204	RN7SL649P
chr1	11066617	11099869	CDK11B
chr1	11068470	11073097	MTATP6P1
chr1	11106534	11131558	PRAMEF31P
chr1	11143897	11149537	CENPS-CORT
chr1	11152349	11152452	RNU6-991P
chr1	11189340	11195981	RNU6-1265P
chr1	11273205	11288434	RNA5SP40
chr1	11311733	11319093	RNU6-731P
chr1	11479165	11481960	RNU6-537P
chr1	11637017	11650770	MIR4632
chr1	11654374	11662289	MIR4689
chr1	11664123	11674354	RN7SL657P
chr1	11691728	11725857	RN7SL731P
chr1	11761786	11789584	RN7SL451P
chr1	11777076	11779619	MIR4252
chr1	11785722	11805413	MIR5697
chr1	11806095	11843143	RN7SL574P
chr1	11843811	11843984	OR4G4P
chr1	11845708	11847783	WBP1LP6
chr1	11857463	11858931	WBP1LP7
chr1	12024011	12024124	PRAMEF5
chr1	12036739	12037014	MZT1P1
chr1	12746214	12763699	MIR6859-2
chr1	12774840	12777906	PRAMEF28P
chr1	12791396	12796628	MIR6728
chr1	12824604	12831410	PRAMEF27
chr1	12838124	12841357	HNRNPCL2
chr1	12892895	12898270	MIR6730
chr1	12916609	12920482	MIR6729
chr1	12922553	12922660	HNRNPCL3
chr1	12938471	12945416	PRAMEF34P
chr1	13029338	13032130	MIR6726
chr1	13049475	13056491	MIR6859-1
chr1	13115495	13116854	PRAMEF13
chr1	13128817	13131615	WASH9P
chr1	13146980	13147460	PRAMEF18
chr1	13196329	13198130	PRAMEF26
chr1	13273538	13275627	MIR4251
chr1	13279124	13279231	TMEM274P
chr1	13281034	13285154	MIR6727
chr1	13303538	13308907	MIR7846
chr1	13315580	13322598	MIR1302-2
chr1	13324038	13324518	MIR34A
chr1	13342033	13343840	MIR6808
chr1	13513219	13516270	OR4F16
chr1	13696069	13696199	LINC02606
chr1	14348954	14391575	OR4F29
chr1	15490831	15524445	FGR
chr1	15526812	15566595	STPG1
chr1	15542164	15542304	NIPAL3
chr1	15565610	15565956	KDM1A
chr1	15572352	15585110	E2F2
chr1	15586135	15603626	PAX7
chr1	15604596	15605043	FAM76A
chr1	15608077	15608145	ELOA
chr1	15614642	15614867	LYPLA2
chr1	15617499	15669044	RUNX3
chr1	15659868	15661722	FBXO42
chr1	15682872	15683128	PQLC2
chr1	15684331	15734769	AKR7A2
chr1	15720311	15732452	MRTO4
chr1	15736404	15741396	SZRD1
chr1	15740050	15749896	PITHD1
chr1	15742421	15747982	CROCC
chr1	15756606	15765073	PIGV
chr1	15792795	15793285	PTPRU
chr1	15807168	15809348	SPEN
chr1	15828231	15828669	CDC42
chr1	15834473	15848147	EPHA8
chr1	15847863	15940460	ARHGEF10L
chr1	15917697	15917908	EIF4G3
chr1	15941868	15942722	RAP1GAP
chr1	15969631	15970194	CAPZB
chr1	15988181	15988441	CROCCP3
chr1	15989139	15989375	ASAP3
chr1	15989870	15994751	SLC9A1
chr1	16004235	16008807	NUDC
chr1	16006159	16006671	MUL1
chr1	16014027	16018041	USP48
chr1	16018874	16034050	DNAJC16
chr1	16035177	16040029	OPRD1
chr1	16043735	16057285	SRSF4
chr1	16057768	16073626	MECR
chr1	16124336	16156087	AGMAT
chr1	16155210	16157329	PLEKHM2
chr1	16159265	16161883	ZBTB17
chr1	16197853	16198357	PADI2
chr1	16197853	16207011	SDHB
chr1	16215908	16217160	MFAP2
chr1	16231699	16237162	ACTL8
chr1	16241212	16241398	IGSF21
chr1	16246838	16352454	PLA2G2D
chr1	16352574	16393355	PINK1-AS
chr1	16369149	16369530	KIF17
chr1	16387116	16403974	ECE1
chr1	16440671	16460078	HMGCL
chr1	16460947	16468481	GALE
chr1	16467435	16492701	ID3
chr1	16514121	16514285	RCAN3
chr1	16514644	16515754	SYF2
chr1	16515033	16521788	RSRP1
chr1	16520693	16521796	STMN1
chr1	16533885	16535649	MTFR1L
chr1	16534080	16534224	MAN1C1
chr1	16548650	16552531	RPS6KA1
chr1	16562318	16613487	DHDDS
chr1	16617390	16617729	ARID1A
chr1	16618252	16626386	RPA2
chr1	16642766	16643109	PPP1R8
chr1	16645621	16650289	STX12
chr1	16656878	16667524	TAF12
chr1	16666784	16666948	HNRNPR
chr1	16681096	16688749	ZNF436
chr1	16685620	16686055	DNAJC8
chr1	16687338	16692309	AHDC1
chr1	16701545	16705594	IFI6
chr1	16739937	16750589	AUNIP
chr1	16740272	16941434	EMC1
chr1	16740279	16750968	PLA2G5
chr1	16740515	16740679	UBR4
chr1	16754909	16758872	HP1BP3
chr1	16851256	16852799	CEP85
chr1	16855406	16859284	SESN2
chr1	16858948	16859021	SMPDL3B
chr1	16870944	16874079	ATP5IF1
chr1	16873707	16873851	MED18
chr1	16888537	16889373	THEMIS2
chr1	16889094	16889602	NR0B2
chr1	16895979	16896143	LIN28A
chr1	16904338	16904776	CPLANE2
chr1	16974501	16978276	CASP9
chr1	16978925	17005091	EPHB2
chr1	16985957	17011772	SRRM1
chr1	17018721	17054170	PADI3
chr1	17066760	17119435	PADI1
chr1	17189782	17197617	EPHA2
chr1	17193231	17201733	ARHGEF19
chr1	17205125	17246005	MYOM3
chr1	17249097	17284233	SH3BGRL3
chr1	17277888	17277975	CNKSR1
chr1	17308194	17334796	RPL11
chr1	17372195	17401699	IL22RA1
chr1	17406759	17407382	ZNF593
chr1	17406759	17439724	MAP3K6
chr1	17539834	17697869	FCN3
chr1	17717686	17749978	GPN2
chr1	17755312	17827063	SYTL1
chr1	18015711	18045612	WDTC1
chr1	18065656	18074412	CELA3A
chr1	18107745	18378482	NBPF3
chr1	18109388	18115861	HSPG2
chr1	18166928	18179346	NECAP2
chr1	18385828	18388514	LDLRAP1
chr1	18480981	18486126	PAFAH2
chr1	18513117	18513383	EXTL1
chr1	18595413	18595636	SLC30A2
chr1	18631005	18736138	TRIM63
chr1	18839598	18859682	GRHL3
chr1	18849272	18921121	UBXN11
chr1	18871429	18902553	XKR8
chr1	18883201	18883275	EYA3
chr1	18897070	18897148	WASF2
chr1	18904280	18956686	TENT5B
chr1	19072109	19075511	NBL1
chr1	19074505	19210276	HTR6
chr1	19210500	19240704	PLA2G2F
chr1	19215663	19251552	VWA5B1
chr1	19251538	19260128	CDA
chr1	19265981	19273941	PINK1
chr1	19282557	19289250	EPB41
chr1	19297079	19297903	C1QC
chr1	19303964	19312146	PADI4
chr1	19305075	19305182	ATP13A2
chr1	19312325	19329300	ALDH4A1
chr1	19338775	19485513	GMEB1
chr1	19424383	19424671	SELENON
chr1	19484402	19626630	FBLIM1
chr1	19510592	19510733	TMEM82
chr1	19591801	19596832	SLC25A34
chr1	19596978	19658056	AKR7A3
chr1	19597066	19656914	MATN1
chr1	19608113	19608568	LAPTM5
chr1	19665286	19679562	TMCO4
chr1	19682212	19799917	UBXN10
chr1	19814028	19815278	CAMK2N1
chr1	19814366	19819502	ALPL
chr1	19882512	19912945	WNT4
chr1	19920008	19923617	PTAFR
chr1	19970968	19971269	CD52
chr1	19975430	19979607	CLIC4
chr1	20028178	20091190	LUZP1
chr1	20111938	20119557	OTUD3
chr1	20139325	20150386	IFFO2
chr1	20154337	20160568	RPL12P13
chr1	20161252	20177424	C1QB
chr1	20184241	20186486	C1QA
chr1	20186084	20196048	MICOS10
chr1	20243094	20244655	HSPB7
chr1	20272017	20273599	CD164L2
chr1	20290918	20354251	PDIK1L
chr1	20294210	20323187	KDF1
chr1	20360578	20428782	SFN
chr1	20412303	20413253	ZNF683
chr1	20476221	20478793	CRYBG2
chr1	20478778	20480397	PFN1P10
chr1	20499447	20508161	RNF186
chr1	20525988	20526751	TAS1R2
chr1	20552438	20555010	KLHDC7A
chr1	20588947	20618908	RCC2
chr1	20633454	20651511	FUCA1
chr1	20633678	20633788	HTR1D
chr1	20651766	20661544	TRNAU1AP
chr1	20664013	20664590	RCC1
chr1	20692733	20694013	GPR3
chr1	20719731	20732640	PAQR7
chr1	20732879	20733952	FAM43B
chr1	20742660	20786688	TMEM50A
chr1	20806291	21176888	SRARP
chr1	20841240	20841302	NCMAP
chr1	20988313	20988432	ZBTB40
chr1	21003549	21003934	CLCNKB
chr1	21073638	21073753	IFNLR1
chr1	21161474	21162081	FAM131C
chr1	21217246	21345504	MATN1-AS1
chr1	21266081	21267251	MST1P2
chr1	21293289	21299774	TMEM222
chr1	21397986	21398362	CLCNKA
chr1	21411459	21413293	CROCCP5
chr1	21415897	21417492	MST1L
chr1	21424624	21427967	RHD
chr1	21428302	21429536	SPATA21
chr1	21434317	21437558	LDLRAD2
chr1	21440127	21483467	HS6ST1P1
chr1	21459755	21460082	PLA2G2C
chr1	21509371	21578412	RAB42
chr1	21586471	21591187	PLA2G2A
chr1	21596214	21669363	SRSF10
chr1	21678297	21783195	RHCE
chr1	21768268	21768575	CATSPER4
chr1	21812264	21825221	PLA2G2E
chr1	21822244	21830713	CNR2
chr1	21908097	21908580	PNRC2
chr1	21950678	21956871	SH2D5
chr1	21977020	21989344	FAM110D
chr1	21983605	22030617	DDI2
chr1	21987480	21987777	MDS2
chr1	21987815	21987919	SNHG12
chr1	22001655	22012522	YTHDF2
chr1	22010649	22010946	GPATCH3
chr1	22010984	22011088	HMGN2
chr1	22024557	22031223	SNORA73B
chr1	22025510	22101360	RNU6-1099P
chr1	22028316	22052927	RNU6-776P
chr1	22059196	22064199	RNU4-28P
chr1	22068339	22068827	RNU6-1022P
chr1	22117304	22142966	PHACTR4
chr1	22142849	22157401	ZDHHC18
chr1	22266238	22266300	MACO1
chr1	22322839	22323331	TCEA3
chr1	22428837	22511763	RNU1-1
chr1	22563563	22589621	RNU6-949P
chr1	22636505	22639608	RNU6-48P
chr1	22643629	22648110	RNU6-514P
chr1	22652761	22661090	RNU1-2
chr1	22710838	22891265	RNU6-424P
chr1	22719516	22719598	RNU6-110P
chr1	22863158	22863226	RNU1-4
chr1	22953042	22965338	RNU1-3
chr1	23010833	23014024	AKR7L
chr1	23020146	23088058	CHCHD3P3
chr1	23057857	23057934	RPS4XP4
chr1	23084022	23168858	RSC1A1
chr1	23162703	23162810	LACTBL1
chr1	23163952	23164053	CROCCP2
chr1	23191894	23194729	LINC00339
chr1	23244764	23245224	CELA3B
chr1	23281307	23286545	NBPF1
chr1	23297796	23302866	RNU6ATAC27P
chr1	23303770	23306632	SNORD99
chr1	23359447	23369442	MIR1290
chr1	23368996	23371783	MIR1256
chr1	23370253	23370346	RNU6-1245P
chr1	23506429	23531220	DPPA2P2
chr1	23557917	23559794	SDHDP6
chr1	23581494	23640568	RPL12P14
chr1	23670293	23680259	SLC25A34-AS1
chr1	23743154	23762059	TBC1D3P6
chr1	23778404	23788232	NPM1P39
chr1	23790969	23795539	OSTCP2
chr1	24040834	24086799	UBXN10-AS1
chr1	24056034	24066579	SNRPEP7
chr1	24066773	24083565	LINC01772
chr1	24154156	24187261	RPL22P3
chr1	24319321	24355318	CHMP1AP1
chr1	24502350	24537019	NBPF2P
chr1	24625410	24625513	CROCCP4
chr1	24631715	24635877	RCC2-AS1
chr1	24704893	24717596	TEX46
chr1	24777872	24777979	LINC01757
chr1	24961344	24963097	LINC01635
chr1	25023502	25023586	SPCS2P4
chr1	25208138	25209437	BTBD6P1
chr1	25242236	25247519	LINC01715
chr1	25266101	25267136	SNRPFP2
chr1	25337916	25362361	IGSF21-AS1
chr1	25362248	25420914	CDC42-IT1
chr1	25543579	25568886	EMC1-AS1
chr1	25581477	25590356	LINC01756
chr1	25644543	25659111	RPEP3
chr1	25831912	25859458	PRDX3P2
chr1	26006005	26006130	RPS15AP6
chr1	26037251	26046113	LINC01648
chr1	26051303	26067633	LINC01783
chr1	26159019	26163962	LINC02596
chr1	26169870	26170873	MT1XP1
chr1	26177402	26189886	UQCRHL
chr1	26190560	26201603	LINC02574
chr1	26209740	26227840	ARHGEF19-AS1
chr1	26218580	26220476	PPIAP34
chr1	26281327	26306636	CHCHD2P6
chr1	26317956	26320523	HSPE1P27
chr1	26361633	26372735	DYNLL1P3
chr1	26529760	26546983	PPP1R11P1
chr1	26593242	26593546	CD24P1
chr1	26640376	26640614	EIF1AXP1
chr1	26647446	26647681	ELOA-AS1
chr1	26693235	26781177	LINC01141
chr1	26787471	26794250	ZBTB40-IT1
chr1	26814821	26815112	ANO7L1
chr1	26980164	26980975	RNU6-1208P
chr1	26983627	26984024	MIR1976
chr1	26993706	27000898	RN7SL277P
chr1	27098814	27104022	RN7SL559P
chr1	27200833	27201473	RN7SL165P
chr1	27206929	27207796	ACTG1P20
chr1	27211264	27211484	SNHG3
chr1	27229105	27234352	RN7SL304P
chr1	27255463	27255567	RN7SL679P
chr1	27311239	27311838	DDOST
chr1	27322144	27336399	ZNF436-AS1
chr1	27325218	27325325	SCARNA21B
chr1	27325328	27325796	RNU7-200P
chr1	27369111	27374824	RNU7-179P
chr1	27379175	27383303	RNU7-29P
chr1	27389467	27390145	RNU6-135P
chr1	27525804	27530561	SCARNA1
chr1	27534034	27603592	RNU6-176P
chr1	27612063	27635277	TMEM200B
chr1	27649418	27649610	TRNP1
chr1	27725978	27763122	LINC01355
chr1	27739953	27740629	LINC01654
chr1	27773182	27824452	MIR3115
chr1	27773857	27774041	MIR3675
chr1	27819982	27820341	MIR4253
chr1	27824537	27824643	MIR4425
chr1	27834400	27834566	MIR4420
chr1	27872542	27886685	MIR378F
chr1	27891523	27914743	MIR4684
chr1	27934992	27959157	MIR4695
chr1	27938874	27960193	MIR4418
chr1	27959461	27968096	MIR3972
chr1	27990157	27990524	ESPNP
chr1	28120448	28121321	MICOS10-NBL1
chr1	28508558	28508762	SNORA44
chr1	28526317	28527227	RN7SL386P
chr1	28544459	28546542	SNORA73A
chr1	28553084	28578545	SNORA16A
chr1	28578537	28581010	RNU11
chr1	28579763	28579893	PADI6
chr1	28580380	28580512	MIR6127
chr1	28580919	28581054	RNU1-5P
chr1	28580919	28581056	RNU1-6P
chr1	28643227	28648530	MIR6731
chr1	28648599	28648730	RN7SL186P
chr1	28648599	28648733	SNORA61
chr1	29119427	29123935	C1orf232
chr1	29171284	29171453	MIR3917
chr1	29192872	29230924	MIR6084
chr1	30824227	30834284	AK2
chr1	30843822	30844110	SCMH1
chr1	30858157	30860254	NCDN
chr1	30869466	30878740	KPNA6
chr1	30918468	30918735	TRIT1
chr1	30931505	31065695	GUCA2B
chr1	31036733	31037240	COL9A2
chr1	31050871	31051034	TRAPPC3
chr1	31094986	31095558	THRAP3
chr1	31108187	31108623	SNRNP40
chr1	31179744	31239554	YBX1
chr1	31259567	31296770	TIE1
chr1	31263244	31263681	KDM4A
chr1	31296981	31364953	NFYC
chr1	31333066	31346799	ZMYND12
chr1	31365624	31373076	ELOVL1
chr1	31409564	31434677	TESK2
chr1	31487588	31488930	EIF2B3
chr1	31497576	31497683	MKNK1
chr1	31500084	31508566	SMAP2
chr1	31503630	31503744	PPIE
chr1	31506225	31583247	ZMPSTE24
chr1	31571584	31575573	EIF3I
chr1	31576484	31587682	NKAIN1
chr1	31617685	31623749	COL16A1
chr1	31629861	31644887	TXLNA
chr1	31644048	31659746	POMGNT1
chr1	31644693	31649371	RAD54L
chr1	31652246	31704319	MAST2
chr1	31727116	31759423	PABPC4
chr1	31758659	31758735	AGO1
chr1	31789129	31791322	TEKT2
chr1	31790421	31816022	CLSPN
chr1	31842018	31855568	HDAC1
chr1	31851912	31921841	S100PBP
chr1	31906420	31919483	RNF19B
chr1	31933019	31933975	TRIM62
chr1	31972188	31987034	DLGAP3
chr1	32013828	32043882	SFPQ
chr1	32052290	32073474	TFAP2E
chr1	32072030	32102863	ADPRHL2
chr1	32086948	32087007	MAP7D1
chr1	32108037	32176568	OSCP1
chr1	32170732	32176568	MRPS15
chr1	32179685	32198285	C1orf109
chr1	32200385	32205387	RRAGC
chr1	32204768	32206185	NT5C1A
chr1	32205660	32208687	HPCAL4
chr1	32209093	32216196	BMP8B
chr1	32214471	32221196	MYCL
chr1	32221927	32226295	RLF
chr1	32231657	32240790	ZNF684
chr1	32247232	32248856	KCNQ4
chr1	32251238	32286164	RIMS3
chr1	32269337	32269597	P3H1
chr1	32286451	32286561	SLC2A1
chr1	32292085	32333635	EBNA1BP2
chr1	32333831	32336379	CDC20
chr1	32349193	32350663	MPL
chr1	32351520	32353541	ARTN
chr1	32361269	32362243	IPO13
chr1	32365102	32394448	ATP6V0B
chr1	32402108	32403115	B4GALT2
chr1	32421978	32422319	ERI3
chr1	32423213	32426789	PTCH2
chr1	32457834	32458135	AKR1A1
chr1	32465056	32600792	PRDX1
chr1	32465068	32496686	PIK3R3
chr1	32539426	32605939	TSPAN1
chr1	32600171	32650565	FAAH
chr1	32639950	32640052	NSUN4
chr1	32651141	32680053	CSF3R
chr1	32680359	32703119	ADGRB2
chr1	32717733	32725237	HCRTR1
chr1	32741884	32774970	ZCCHC17
chr1	32775236	32782103	FABP3
chr1	32816766	32826489	KHDRBS1
chr1	32862267	32863016	TMEM39B
chr1	32885993	32894063	TMEM54
chr1	32894593	32895587	ZSCAN20
chr1	32936444	32964685	CSMD2
chr1	32973552	32974463	HPCA
chr1	32979946	32980472	ATPAF1
chr1	32986951	32988233	PSMB2
chr1	32987074	33032469	AGO3
chr1	33007939	33036911	UROD
chr1	33029231	33029576	ST3GAL3
chr1	33081103	33093400	TMEM53
chr1	33141870	33143230	HECTD3
chr1	33145401	33181666	HIVEP3
chr1	33162850	33166298	PPCS
chr1	33194787	33200353	EDN2
chr1	33256544	33280414	MACF1
chr1	33261211	33261680	GJA9
